Codigo,Vereda,Dirección,Avaluo,Predial
10036000,1,EL CARMEN VDA HUERTA CHICA,6548000,151040000000000000000000000000
10037000,1,EL PROGRESO VDA HUERTA CHICA,7336000,151040000000000000000000000000
10038000,1,LA MESETA VDA HUERTA CHICA,15417000,151040000000000000000000000000
10039000,1,EL PRADO VDA HUERTA CHICA,10151000,151040000000000000000000000000
10040000,1,EL RECUERDO VDA HUERTA CHICA,6207000,151040000000000000000000000000
10041000,1,EL DURAZNO VDA HUERTA CHICA,5681000,151040000000000000000000000000
10043000,1,SAN MARTIN VDA HUERTA CHICA,2468000,151040000000000000000000000000
10043000,1,SAN MARTIN VDA HUERTA CHICA,2468000,151040000000000000000000000000
10044000,1,LA ERA VDA HUERTA CHICA,9725000,151040000000000000000000000000
10045000,1,EL RECUERDO 2 VDA HUERTA CHICA,40570000,151040000000000000000000000000
10046000,1,AGUA CALIENTE VDA HUERTA CHICA,64541000,151040000000000000000000000000
10047000,1,EL HORIZONTE VDA HUERTA CHICA,3132000,151040000000000000000000000000
10047000,1,EL HORIZONTE VDA HUERTA CHICA,3132000,151040000000000000000000000000
10048000,1,EL CERRITO VDA HUERTA CHICA,7442000,151040000000000000000000000000
10048000,1,EL CERRITO VDA HUERTA CHICA,7442000,151040000000000000000000000000
10049000,1,LA LAGUNA VDA HUERTA CHICA,6485000,151040000000000000000000000000
10049000,1,LA LAGUNA VDA HUERTA CHICA,6485000,151040000000000000000000000000
10049000,1,LA LAGUNA VDA HUERTA CHICA,6485000,151040000000000000000000000000
10049000,1,LA LAGUNA VDA HUERTA CHICA,6485000,151040000000000000000000000000
10049000,1,LA LAGUNA VDA HUERTA CHICA,6485000,151040000000000000000000000000
10050000,1,EL RECUERDO VDA HUERTA CHICA,22337000,151040000000000000000000000000
10053000,1,HUERTAS CHICA VDA HUERTA CHICA,8547000,151040000000000000000000000000
10054000,1,BOLIVAR VDA HUERTA CHICA,211000,151040000000000000000000000000
10055000,1,LA MESETA VDA HUERTA CHICA,5807000,151040000000000000000000000000
10057000,1,LOTE LA ESPERANZA VDA HUERTA CHICA,2333000,151040000000000000000000000000
10058000,1,SANTA ISABEL VDA HUERTA CHICA,3570000,151040000000000000000000000000
10060000,1,EL CORDONCILLO VDA HUERTA CHICA,6661000,151040000000000000000000000000
